iter	RMSE
0	14.03788522
1	13.15198832
2	12.45214288
3	11.71178992
4	11.00686188
5	10.41307264
6	9.968319942
7	9.493228852
8	9.049321264
9	8.652970126
10	8.30210186
11	7.986800371
12	7.710508554
13	7.481337058
14	7.25479953
15	7.061672486
16	6.913632784
17	6.745664304
18	6.622882816
19	6.495153452
20	6.355259242
21	6.230923924
22	6.141340333
23	6.042744816
24	5.961251029
25	5.890572016
26	5.823055206
27	5.774713086
28	5.717297898
29	5.679582226
30	5.630031855
31	5.594097216
32	5.551252436
33	5.516987791
34	5.479993809
35	5.452963207
36	5.425219819
37	5.409204641
38	5.383525171
39	5.362966442
40	5.334871655
41	5.305894907
42	5.291903416
43	5.271805208
44	5.250779887
45	5.222888273
46	5.208892518
47	5.193846595
48	5.178335507
49	5.16508902
50	5.141421463
51	5.121045402
52	5.10178494
53	5.090634499
54	5.075359249
55	5.064867493
56	5.048298535
57	5.034398274
58	5.021202607
59	5.009362028
60	4.992529451
61	4.991360608
62	4.986094395
63	4.978588661
64	4.968767104
65	4.958015096
66	4.943977215
67	4.932032638
68	4.925797462
69	4.905224951
70	4.896464028
71	4.890977351
72	4.881622883
73	4.872264662
74	4.862574944
75	4.849770173
76	4.841479047
77	4.82394097
78	4.813441125
79	4.804892888
80	4.796152393
81	4.787367892
82	4.778474272
83	4.776504605
84	4.767299043
85	4.757883716
86	4.750555895
87	4.745859952
88	4.739690353
89	4.734002793
90	4.727011183
91	4.716871407
92	4.715801023
93	4.71213912
94	4.711311088
95	4.700088335
96	4.695811038
97	4.694979704
98	4.693102236
99	4.685299222
