iter	Passed	Remaining
0	4	432
1	6	313
2	8	262
3	10	240
4	11	218
5	12	202
6	14	193
7	16	185
8	20	209
9	33	299
10	39	322
11	41	304
12	43	288
13	44	276
14	46	262
15	47	249
16	49	239
17	51	234
18	53	229
19	56	226
20	59	222
21	61	219
22	64	214
23	66	210
24	68	206
25	71	202
26	73	198
27	75	194
28	77	190
29	80	187
30	82	184
31	85	180
32	86	176
33	88	171
34	89	166
35	90	161
36	92	156
37	93	152
38	94	147
39	95	143
40	97	139
41	98	136
42	99	132
43	101	129
44	102	125
45	105	123
46	107	120
47	109	118
48	111	116
49	113	113
50	115	111
51	117	108
52	119	105
53	120	102
54	122	100
55	123	97
56	125	94
57	127	91
58	128	89
59	130	86
60	132	84
61	133	81
62	136	79
63	137	77
64	139	75
65	141	72
66	143	70
67	146	68
68	148	66
69	151	64
70	154	62
71	156	61
72	163	60
73	166	58
74	168	56
75	169	53
76	171	51
77	173	48
78	175	46
79	177	44
80	179	42
81	180	39
82	182	37
83	183	35
84	185	32
85	187	30
86	188	28
87	190	25
88	191	23
89	193	21
90	194	19
91	196	17
92	197	14
93	199	12
94	201	10
95	203	8
96	205	6
97	206	4
98	208	2
99	209	0
